method,seed,status,test_top1_accuracy_pct,macro_f1,total_training_time_h,timestamp
PixelVariance,42,trained,98.57142857142858,0.9857116394765743,2.406906687650557,2026-07-03 00:10:33
PixelVariance,123,trained,98.09523809523809,0.980940464052075,1.8673091373377813,2026-07-03 02:07:18
PixelVariance,999,trained,98.09523809523809,0.9809470884769579,1.9583271370022217,2026-07-03 04:09:33
PixelVariance,2025,trained,98.57142857142858,0.9857103163577184,2.0180452189122216,2026-07-03 06:15:25
PixelVariance,777,trained,96.19047619047619,0.9618431149259975,1.8689689032291668,2026-07-03 08:12:18
DynamicImage,42,trained,99.04761904761905,0.990473544238479,2.0324968812266686,2026-07-03 10:26:38
DynamicImage,123,trained,99.52380952380952,0.9952367721192396,2.0426107584258353,2026-07-03 12:41:06
DynamicImage,999,trained,99.52380952380952,0.9952367721192396,1.9936936456597243,2026-07-03 14:52:28
DynamicImage,2025,trained,98.09523809523809,0.9807716011339824,1.9948109515858312,2026-07-03 17:04:00
DynamicImage,777,trained,99.04761904761905,0.9904735442384789,1.9887898542130522,2026-07-03 19:14:58
MeanImage,42,trained,99.52380952380952,0.9952367721192396,1.9740060034258367,2026-07-03 21:18:06
MeanImage,123,trained,98.57142857142858,0.9857062101267867,2.080169808842499,2026-07-03 23:27:38
MeanImage,999,trained,98.09523809523809,0.9808471469525214,2.0551050029513944,2026-07-04 01:36:02
MeanImage,2025,trained,98.09523809523809,0.980940464052075,1.8753630519444495,2026-07-04 03:33:12
MeanImage,777,trained,99.52380952380952,0.9952367721192396,1.944944507569445,2026-07-04 05:34:34
